q,seed,ok,n_src,n_rec,matched,x,y,kappa_star,slope,rchi2
0.7,9015,True,100,1,True,-0.453785779926558,-0.28851087074274134,0.2987584947771396,0.5949380979479097,1.023054864498041
0.7,9016,True,100,1,True,-0.12433926723881689,-0.07291983597685137,0.19872883647524775,0.7866203849239145,1.0335197070202542
0.7,9017,True,99,1,True,0.21629058548144053,0.44891513225342705,0.32661562533338895,0.5754413742956538,1.0015281080278022
0.7,9018,True,100,1,True,0.2609586262923702,0.13541308199409205,0.30781952926555095,0.6167829427285259,0.9229620702253499
0.7,9019,True,100,1,True,0.09865581940465282,-0.38081345878691497,0.252904196386177,0.6758156139309333,1.0172427771568957
0.7,9020,True,100,2,True,0.31656159308483567,0.0859238602805582,0.2813319184448688,0.650326400848089,1.0510837085923637
0.7,9021,True,99,1,True,0.3330788031977062,0.262831919693883,0.2779696297507758,0.6527729411627843,0.9307424851681584
0.7,9022,True,100,1,True,-0.052608545108330795,0.41681530971910824,0.14973640287137474,0.8926456195914669,1.0154880513456805
0.7,9023,True,97,1,True,0.16373324386400967,0.025982236005664787,0.18080200438266156,0.8144541174233367,1.0497059539586973
0.7,9024,True,98,1,True,-0.5054613040308329,-0.6950243005754076,0.281423676089108,0.633788618317114,0.9458268668679402
0.7,9025,True,99,1,True,-0.43528510529259273,-0.1752628695417004,0.1716154061557985,0.8693525903827346,1.094483735306788
0.7,9026,True,100,2,True,0.4628735250908566,0.059510029757281514,0.3990858201668281,0.5193733017668918,0.9835601837738229
0.7,9027,True,100,1,True,0.20874916146460903,1.221331671724715,0.30606366639788546,0.6200152683254432,0.9613089074879648
0.7,9028,True,97,2,True,-0.166837520150595,-0.5570792646020811,0.21162524074308836,0.7321985070151797,0.9702227875284003
0.7,9029,True,100,1,True,0.22446643857785237,0.003425865160417721,0.3057182433048307,0.6423553450404198,0.9909431368998813
0.7,9030,True,100,1,True,-0.14183919547025567,0.8440681599302043,0.3941019309509123,0.48933578131377864,1.0250092815601737
0.7,9031,True,100,1,True,0.19976252553942397,0.007809931183764284,0.2662820187824975,0.6940508246518464,1.0601467250448002
0.7,9032,True,100,1,True,-0.6946321830676014,-0.32023612407837254,0.46002049679927126,0.4338635341445106,1.0714481703191943
0.7,9033,True,100,1,True,0.6845793673411097,0.5712530316339706,0.19735609095658171,0.8118374007863094,1.1171850470745428
0.7,9034,True,99,1,True,0.24783201878021036,0.12523358511065752,0.37076200528242775,0.5618068083356482,1.0453144610815717
0.7,9035,True,99,1,True,0.1681148384787782,-0.14054040584790484,0.253470274539175,0.6930421827336593,1.0178141238916443
0.7,9036,True,100,1,True,0.2163897070808073,-0.21613982616022107,0.24149424389358803,0.6927495888162573,0.9962494263950874
0.7,9037,True,99,1,True,-0.5290800075200741,-0.011110969721558757,0.33978634465331387,0.6322506460513599,1.0003300770180603
0.7,9038,True,99,1,True,-0.3896677117891072,0.7848481944483683,0.1839216409560012,0.8538802092802731,1.0109301337842278
0.7,9039,True,100,1,True,0.030653469812773004,-0.0554909953206698,0.18602734056464074,0.8390073738352757,1.0116668096794605
0.7,9040,True,98,1,True,0.2571495455424161,0.23406775850644157,0.19766442230551987,0.7848873664192224,1.036322933020948
0.7,9041,True,100,1,True,0.23919600224079773,-0.33050100737319044,0.2557693457372041,0.6771040180853714,1.0079500716841494
0.7,9042,True,98,1,True,0.05751297387068737,-0.21834884316222414,0.3350677760585085,0.6071492194704887,1.0491590586119484
0.7,9043,True,100,2,True,0.4014499856301754,0.20624166342257366,0.1981915693555163,0.784267183595827,0.9472164931935002
0.7,9044,True,100,1,True,0.02429184801624068,0.10912004752078852,0.2297250568416029,0.7511314842031266,1.019037449348016
